source,target,contraction
Openai,Artificial Intelligence,0
Openai,Chatgpt,0
Openai,Chatbot,0
Openai,Generative Artificial Intelligence,0
Openai,Generative Pre-Trained Transformer,0
Openai,Grok (Chatbot),0
Openai,History Of Artificial Intelligence,0
Openai,Issn (Identifier),0
Openai,Intelligent Agent,0
Openai,Large Language Model,0
Openai,Linkedin,0
Openai,Machine Translation,0
Openai,Microsoft,0
Openai,Speech Recognition,0
Openai,Speech Synthesis,0
Openai,Stochastic Parrot,0
Openai,The New York Times,0
Openai,The Wall Street Journal,0
Openai,Wayback Machine,0
Openai,Word Embedding,0
Information Privacy,Issn (Identifier),0
Information Privacy,Oclc (Identifier),0
Information Privacy,Pmc (Identifier),0
Information Privacy,S2Cid (Identifier),0
Information Privacy,The New York Times,0
Information Privacy,Wayback Machine,0
Rule-Based System,Artificial Intelligence,0
Rule-Based System,S2Cid (Identifier),0
Large Language Model,Artificial Intelligence,0
Large Language Model,Bert (Language Model),0
Large Language Model,Chatgpt,0
Large Language Model,Chatbot,0
Large Language Model,Computational Linguistics,0
Large Language Model,Generative Artificial Intelligence,0
Large Language Model,Generative Pre-Trained Transformer,0
Large Language Model,Glove,0
Large Language Model,Grok (Chatbot),0
Large Language Model,Hallucination (Artificial Intelligence),0
Large Language Model,History Of Artificial Intelligence,0
Large Language Model,Issn (Identifier),0
Large Language Model,Intelligent Agent,0
Large Language Model,Machine Translation,0
Large Language Model,Marvin Minsky,0
Large Language Model,Openai,0
Large Language Model,Pmc (Identifier),0
Large Language Model,S2Cid (Identifier),0
Large Language Model,Speech Recognition,0
Large Language Model,Speech Synthesis,0
Large Language Model,Stochastic Parrot,0
Large Language Model,Text Corpus,0
Large Language Model,The New York Times,0
Large Language Model,Virtual Assistant,0
Large Language Model,Wayback Machine,0
Large Language Model,Wikidata,0
Large Language Model,Word Embedding,0
Cnbc,Issn (Identifier),0
Cnbc,Microsoft,0
Cnbc,The Wall Street Journal,0
Environment (Systems),Wayback Machine,0
Software,Algorithm,0
Software,Software As A Service,0
University Of Illinois Urbana-Champaign,Jstor (Identifier),0
University Of Illinois Urbana-Champaign,Microsoft,0
University Of Illinois Urbana-Champaign,Plato (Computer System),0
University Of Illinois Urbana-Champaign,The Wall Street Journal,0
University Of Illinois Urbana-Champaign,Wayback Machine,0
Computational Linguistics,Algorithm,0
Computational Linguistics,Artificial Intelligence,0
Computational Linguistics,Glove,0
Computational Linguistics,Pmc (Identifier),0
Computational Linguistics,S2Cid (Identifier),0
Computational Linguistics,Wayback Machine,0
Linkedin,Algorithm,0
Linkedin,Cnbc,0
Linkedin,Issn (Identifier),0
Linkedin,Microsoft,0
Linkedin,S2Cid (Identifier),0
Linkedin,Ssrn (Identifier),0
Linkedin,The New York Times,0
Linkedin,The Wall Street Journal,0
Linkedin,Wayback Machine,0
Teraco Data Environments,Dimension Data,0
Construction,Issn (Identifier),0
Construction,Machine,0
Construction,S2Cid (Identifier),0
Osti (Identifier),Wikidata,0
Duolingo,Oclc (Identifier),0
Duolingo,Pmc (Identifier),0
Duolingo,Wikidata,0
Resisting Ai,Artificial Intelligence,0
Resisting Ai,Chatgpt,0
Resisting Ai,Hdl (Identifier),0
Resisting Ai,Issn (Identifier),0
Resisting Ai,Large Language Model,0
Resisting Ai,S2Cid (Identifier),0
Intelligent Tutoring System,Artificial Intelligence,0
Intelligent Tutoring System,Dartmouth Workshop,0
Intelligent Tutoring System,Hdl (Identifier),0
